,Star_Name,Distance,Mass,Radius
101,SDSSp J134646.45-003150.4 [de],48.0,0.42001871999999996,0.09659721999999998
102,2MASS J13595510-4034582,51.0,0.60139044,0.102763
103,ULAS J141623.94+134836.3,29.7,0.30546816,0.09865247999999999
104,SDSS J141659.78+500626.4 [de],149.0,0.5632069199999999,0.10173536999999999
105,DENIS-P J142527.97-365023.4 [de],38.0,0.20046348,0.13564716
106,LHS 2924,38.5,0.72548688,0.10892878
107,2MASS J14392837+1929150,47.0,0.68730336,0.10584589
108,LSPM J1440+1339,72.0,0.8782209599999999,0.12228796999999998
109,2MASS J14482563+1031590 [de],47.0,0.5632069199999999,0.10173536999999999
110,CFBDSIR 1458+10A,104.0,0.105959268,0.1541445
111,CFBDSIR 1458+10B,104.0,0.08591292,0.13359189999999999
112,TVLM 513-46546,35.1,0.7159409999999999,0.10790115
113,2MASS 1503+2525,20.7,0.42001871999999996,0.09659721999999998
114,CFBDS J150411+102717,71.0,0.42001871999999996,0.09659721999999998
115,2MASSW J1506544+132106 [de],46.0,0.65866572,0.10481826
116,2MASS 1507−1627,23.9,0.5727528,0.10173536999999999
117,TVLM 868-110639,53.0,0.75412452,0.11098404
118,2MASSW J1515008+484742 [de],34.0,0.5441151599999999,0.10173536999999999
119,2MASSI J1526140+204341 [de],67.0,0.51547752,0.10070773999999999
120,DENIS-P J153941.96-052042.4 [de],51.0,0.60139044,0.102763
121,2MASS J15462718-3325111 [de],37.0,0.42001871999999996,0.09659721999999998
122,2MASSW J1552591+294849 [de],68.0,0.2863764,0.14695108999999998
123,2MASSW J1555157-095605 [de],44.0,0.67775748,0.10584589
124,2MASS J16150413+1340079 [de],48.0,0.40092696,0.09659721999999998
125,SDSSp J162414.37+002915.6 [de],36.0,0.41047284,0.09659721999999998
126,2MASS J16262034+3925190 [de],110.0,0.67775748,0.10584589
127,2MASSW J1632291+190441 [de],50.0,0.46774812,0.09968010999999999
128,WISEPA J164715.59+563208.2,28.0,0.39138108,0.09659721999999998
129,LSPM J1658+7027 [de],60.0,0.6968492399999999,0.10687352
130,2MASSI J1726000+153819,114.0,0.22910112,0.14386819999999997
131,SDSSp J175032.96+175903.9,90.0,0.44865636,0.09968010999999999
132,2MASS J18283572-4849046,39.0,0.42956459999999996,0.09762484999999999
133,LSR J1835+3259,18.5,0.73503276,0.10995641
134,2MASSW J1841086+311727,138.0,0.63957396,0.10379063
135,2MASS J18432213+4040209,46.0,0.91640448,0.12537086
136,2MASS J20004841-7523070,105.0,0.238647,0.19319443999999997
137,SDSS J204749.61-071818.3,65.0,0.43911047999999997,0.09865247999999999
138,2MASSI J2057540-025230,47.0,0.6682116,0.10481826
139,2MASSI J2104149-103736,62.0,0.65866572,0.10481826
140,PSO J318.5−22,80.0,0.06204822,0.15722739
141,HB 2124-4228,113.0,0.89731272,0.12434322999999999
142,2MASS J21392676+0220226,32.1,0.43911047999999997,0.09865247999999999
143,2MASS J21481628+4003593,26.3,0.5250234,0.10173536999999999
144,2MASSW J2206450-421721,93.0,0.21000935999999998,0.13667479
145,2MASSW J2208136+292121,154.0,0.25773876,0.14489582999999998
146,2MASSW J2224438-015852,38.0,0.58229868,0.10173536999999999
147,2MASS J22282889-4310262,35.0,0.40092696,0.09659721999999998
148,2MASS J22373255+3922398,64.0,0.6968492399999999,0.10687352
149,2MASSW J2244316+204343,56.0,0.11455056,0.13256426999999998
150,2MASS J23224684-3133231,56.0,0.22910112,0.14284056999999997
151,2MASS J23225299-6151275,148.0,0.16227996,0.16339317
152,2MASS J23515044-2537367,67.0,0.8400374399999999,0.11920507999999998
153,2MASSI J2356547-155310,74.0,0.7636704,0.11201167000000001
154,WISE 0410+1502,20.0,0.05727528,0.12023270999999998
155,WISE 0458+6434A,35.9,0.1431882,0.4316046
156,WISE 0458+6434B,35.9,0.0954588,0.39049939999999994
157,WISE 1405+5534,25.3,0.2863764,0.08837618
